Job started: Wed May 20 08:33:10 PM CDT 2026  Node: gh021.hsn.cm.delta.internal.ncsa.edu
GPUs: 0
Step 5800: grad_norm=0.2785, loss=0.0046, param_norm=1803.0850
Step 5850: grad_norm=0.1960, loss=0.0040, param_norm=1803.0868
Step 5900: grad_norm=0.1758, loss=0.0032, param_norm=1803.0884
Step 5950: grad_norm=0.1683, loss=0.0031, param_norm=1803.0903
Step 6000: grad_norm=0.1400, loss=0.0026, param_norm=1803.0918
Step 6050: grad_norm=0.1855, loss=0.0038, param_norm=1803.0940
Step 6100: grad_norm=0.1999, loss=0.0038, param_norm=1803.0950
Step 6150: grad_norm=0.2236, loss=0.0041, param_norm=1803.0962
Step 6200: grad_norm=0.1528, loss=0.0027, param_norm=1803.0978
Step 6250: grad_norm=0.1470, loss=0.0029, param_norm=1803.0994
Step 6300: grad_norm=0.1798, loss=0.0036, param_norm=1803.1010
Step 6350: grad_norm=0.2205, loss=0.0040, param_norm=1803.1022
Step 6400: grad_norm=0.1980, loss=0.0036, param_norm=1803.1040
Step 6450: grad_norm=0.1825, loss=0.0030, param_norm=1803.1050
Step 6500: grad_norm=0.1529, loss=0.0027, param_norm=1803.1052
Step 6550: grad_norm=0.1669, loss=0.0032, param_norm=1803.1062
Step 6600: grad_norm=0.2157, loss=0.0029, param_norm=1803.1072
Step 6650: grad_norm=0.1571, loss=0.0027, param_norm=1803.1080
Step 6700: grad_norm=0.1727, loss=0.0028, param_norm=1803.1088
Step 6750: grad_norm=0.1933, loss=0.0031, param_norm=1803.1100
Step 6800: grad_norm=0.2579, loss=0.0040, param_norm=1803.1106
Step 6850: grad_norm=0.1152, loss=0.0017, param_norm=1803.1116
Step 6900: grad_norm=0.1515, loss=0.0024, param_norm=1803.1124
Step 6950: grad_norm=0.1920, loss=0.0030, param_norm=1803.1133
Step 7000: grad_norm=0.1665, loss=0.0023, param_norm=1803.1139
Step 7050: grad_norm=0.2624, loss=0.0036, param_norm=1803.1146
Step 7100: grad_norm=0.2056, loss=0.0029, param_norm=1803.1155
Step 7150: grad_norm=0.1900, loss=0.0029, param_norm=1803.1158
Step 7200: grad_norm=0.2489, loss=0.0034, param_norm=1803.1168
Step 7250: grad_norm=0.2308, loss=0.0029, param_norm=1803.1172
Step 7300: grad_norm=0.1264, loss=0.0020, param_norm=1803.1178
Step 7350: grad_norm=0.1392, loss=0.0020, param_norm=1803.1184
Step 7400: grad_norm=0.1757, loss=0.0025, param_norm=1803.1190
Step 7450: grad_norm=0.2229, loss=0.0032, param_norm=1803.1196
Step 7500: grad_norm=0.2431, loss=0.0033, param_norm=1803.1201
Step 7550: grad_norm=0.1929, loss=0.0026, param_norm=1803.1205
Step 7600: grad_norm=0.1692, loss=0.0023, param_norm=1803.1207
Step 7650: grad_norm=0.1484, loss=0.0016, param_norm=1803.1211
Step 7700: grad_norm=0.2404, loss=0.0034, param_norm=1803.1216
Step 7750: grad_norm=0.1494, loss=0.0021, param_norm=1803.1219
Step 7800: grad_norm=0.1855, loss=0.0024, param_norm=1803.1222
Step 7850: grad_norm=0.1377, loss=0.0020, param_norm=1803.1224
Step 7900: grad_norm=0.1632, loss=0.0022, param_norm=1803.1230
Step 7950: grad_norm=0.1454, loss=0.0022, param_norm=1803.1233
Step 8000: grad_norm=0.1663, loss=0.0020, param_norm=1803.1237
Step 8050: grad_norm=0.1860, loss=0.0020, param_norm=1803.1237
Step 8100: grad_norm=0.1867, loss=0.0024, param_norm=1803.1240
Step 8150: grad_norm=0.1000, loss=0.0012, param_norm=1803.1240
Step 8200: grad_norm=0.1383, loss=0.0019, param_norm=1803.1244
Step 8250: grad_norm=0.1401, loss=0.0017, param_norm=1803.1244
Step 8300: grad_norm=0.1551, loss=0.0019, param_norm=1803.1246
Step 8350: grad_norm=0.1393, loss=0.0017, param_norm=1803.1246
